brushes,mode,scope,calls_per_step,inclusive_ms_per_step,exclusive_ms_per_step,exclusive_percent
64,normal,ExtrudeTool::extrude,1.000,0.780458,0.003811,0.205
64,normal,FaceAttribsEditor::updateControls,1.000,0.178754,0.178754,9.615
64,normal,Map::nodesDidChange,2.000,0.009884,0.009884,0.532
64,normal,Map::nodesWillChange,2.000,0.002340,0.002340,0.126
64,normal,Map::rollbackTransaction,1.000,0.427726,0.005494,0.296
64,normal,MapDocument::transactionDone,1.000,0.114886,0.076927,4.138
64,normal,MapDocument::transactionUndone,1.000,0.166505,0.121596,6.540
64,normal,MapRenderer::nodesDidChange,2.000,0.006298,0.006298,0.339
64,normal,MapViewBase::renderContents,1.000,0.462197,0.451546,24.288
64,normal,MapViewBase::updateActionStates,8.000,0.016639,0.016639,0.895
64,normal,OutlinerEntityPropertyEditor::refreshEmbeddedEditors,2.000,0.000665,0.000665,0.036
64,normal,OutlinerEntityPropertyEditor::refreshVisiblePropertyValues,2.000,0.258685,0.258685,13.914
64,normal,Qt.MetaCall,4.000,0.178168,0.178168,9.583
64,normal,Qt.Paint,1.000,0.495247,0.025426,1.368
64,normal,Qt.Timer,1.267,0.281001,0.053262,2.865
64,normal,Qt.UpdateRequest,1.000,0.508107,0.012860,0.692
64,normal,RenderView::paintGL,1.000,0.469821,0.000706,0.038
64,normal,RenderView::render,1.000,0.469115,0.006918,0.372
64,normal,ToolBoxConnector::updatePickResult,8.000,0.059700,0.059700,3.211
64,normal,doSwapNodeContents,2.000,0.293447,0.015574,0.838
64,normal,drag,1.000,0.806724,0.003470,0.187
64,normal,events_and_render,1.000,1.050923,0.132633,7.134
64,normal,extrudeBrushes,1.000,0.348921,0.004962,0.267
64,normal,frame,1.000,1.859166,0.001519,0.082
64,normal,input.pick,1.000,0.022795,0.022795,1.226
64,normal,updateNodeContents,1.000,0.297407,0.013362,0.719
64,outward,Brush.copy,1.000,0.011582,0.000991,0.076
64,outward,Brush.copy.faces,1.000,0.000479,0.000479,0.037
64,outward,Brush.copy.geometry,1.000,0.010112,0.010112,0.773
64,outward,Brush::clip,1.000,0.022615,0.022615,1.728
64,outward,Brush::moveBoundary,1.000,0.032290,0.032290,2.468
64,outward,BrushRenderer::validate,1.000,0.010034,0.003471,0.265
64,outward,BrushRenderer::validateBrush,1.000,0.006562,0.006562,0.502
64,outward,CommandProcessor::executeAndStore,1.000,0.188782,0.044791,3.423
64,outward,EntityPropertyGrid::updateControls,1.000,0.003318,0.003318,0.254
64,outward,ExtrudeTool::extrude,1.000,0.436409,0.000524,0.040
64,outward,FaceAttribsEditor::updateControls,1.000,0.164025,0.164025,12.535
64,outward,Map::nodesDidChange,1.000,0.005091,0.005091,0.389
64,outward,Map::nodesWillChange,1.000,0.001203,0.001203,0.092
64,outward,MapDocument::transactionDone,1.000,0.158100,0.113309,8.659
64,outward,MapRenderer::nodesDidChange,1.000,0.003872,0.003872,0.296
64,outward,MapViewBase::renderContents,1.000,0.419358,0.409324,31.281
64,outward,MapViewBase::updateActionStates,4.000,0.008783,0.008783,0.671
64,outward,OutlinerEntityPropertyEditor::refreshEmbeddedEditors,1.000,0.000311,0.000311,0.024
64,outward,OutlinerEntityPropertyEditor::refreshVisiblePropertyValues,1.000,0.124689,0.124689,9.529
64,outward,Qt.MetaCall,2.000,0.111144,0.111144,8.494
64,outward,Qt.Paint,1.000,0.444071,0.018093,1.383
64,outward,Qt.Timer,1.183,0.229582,0.034636,2.647
64,outward,Qt.UpdateRequest,1.000,0.455723,0.011652,0.890
64,outward,RenderView::paintGL,1.000,0.425978,0.000628,0.048
64,outward,RenderView::render,1.000,0.425350,0.005992,0.458
64,outward,ToolBoxConnector::updatePickResult,4.000,0.032690,0.032690,2.498
64,outward,doSwapNodeContents,1.000,0.143992,0.008825,0.674
64,outward,drag,1.000,0.461152,0.003030,0.232
64,outward,events_and_render,1.000,0.846085,0.080558,6.156
64,outward,frame,1.000,1.308542,0.001306,0.100
64,outward,input.pick,1.000,0.021713,0.021713,1.659
64,outward,splitBrushesOutward,1.000,0.435885,0.004130,0.316
64,outward,updateNodeContents,2.000,0.729471,0.018387,1.405
64,inward,Brush.copy,2.000,0.015935,0.001263,0.087
64,inward,Brush.copy.faces,3.000,0.000920,0.000920,0.064
64,inward,Brush.copy.geometry,3.000,0.019476,0.019476,1.346
64,inward,Brush::clip,2.000,0.052381,0.052381,3.620
64,inward,BrushRenderer::validate,1.000,0.012380,0.003711,0.256
64,inward,BrushRenderer::validateBrush,2.000,0.008669,0.008669,0.599
64,inward,CommandProcessor::executeAndStore,1.000,0.214127,0.056903,3.932
64,inward,EntityPropertyGrid::updateControls,1.000,0.003446,0.003446,0.238
64,inward,ExtrudeTool::extrude,1.000,0.495679,0.000945,0.065
64,inward,FaceAttribsEditor::updateControls,1.000,0.177448,0.177448,12.262
64,inward,Map::nodesDidChange,1.000,0.006510,0.006510,0.450
64,inward,Map::nodesWillChange,1.000,0.001731,0.001731,0.120
64,inward,MapDocument::transactionDone,1.000,0.177498,0.131957,9.119
64,inward,MapRenderer::nodesDidChange,1.000,0.004918,0.004918,0.340
64,inward,MapViewBase::renderContents,1.000,0.424149,0.411769,28.454
64,inward,MapViewBase::updateActionStates,4.000,0.008701,0.008701,0.601
64,inward,OutlinerEntityPropertyEditor::refreshEmbeddedEditors,1.000,0.000346,0.000346,0.024
64,inward,OutlinerEntityPropertyEditor::refreshVisiblePropertyValues,1.000,0.134524,0.134524,9.296
64,inward,Qt.MetaCall,2.000,0.117477,0.117477,8.118
64,inward,Qt.Paint,1.000,0.453786,0.022869,1.580
64,inward,Qt.Timer,1.208,0.249472,0.038576,2.666
64,inward,Qt.UpdateRequest,1.000,0.466492,0.012707,0.878
64,inward,RenderView::paintGL,1.000,0.430917,0.000637,0.044
64,inward,RenderView::render,1.000,0.430280,0.006131,0.424
64,inward,ToolBoxConnector::updatePickResult,4.000,0.033394,0.033394,2.308
64,inward,doSwapNodeContents,1.000,0.157224,0.009194,0.635
64,inward,drag,1.000,0.524255,0.003196,0.221
64,inward,events_and_render,1.000,0.921262,0.121270,8.380
64,inward,frame,1.000,1.447117,0.001600,0.111
64,inward,input.pick,1.000,0.025379,0.025379,1.754
64,inward,splitBrushesInward,1.000,0.494432,0.009083,0.628
64,inward,splitBrushesOutward,1.000,0.000302,0.000302,0.021
64,inward,updateNodeContents,2.000,0.821475,0.019684,1.360
