brushes,mode,scope,calls_per_step,inclusive_ms_per_step,exclusive_ms_per_step,exclusive_percent
1,inward,ExtrudeTool::extrude,1.000,3.851851,0.001604,0.015
1,inward,FaceAttribsEditor::updateControls,1.000,0.182462,0.182462,1.694
1,inward,Map::nodesDidChange,2.000,0.009600,0.009600,0.089
1,inward,Map::nodesWereAdded,1.000,0.005054,0.005054,0.047
1,inward,Map::nodesWereRemoved,1.000,0.003295,0.003295,0.031
1,inward,Map::nodesWillBeRemoved,1.000,0.002738,0.002738,0.025
1,inward,Map::nodesWillChange,2.000,0.003017,0.003017,0.028
1,inward,Map::rollbackTransaction,1.000,2.338419,0.008739,0.081
1,inward,Map::selectionDidChange,3.000,0.008698,0.008698,0.081
1,inward,Map::selectionWillChange,3.000,0.000630,0.000630,0.006
1,inward,MapDocument::transactionDone,2.000,0.176160,0.142271,1.321
1,inward,MapDocument::transactionUndone,1.000,0.120339,0.099566,0.924
1,inward,MapRenderer::nodesDidChange,2.000,0.003908,0.003908,0.036
1,inward,MapRenderer::nodesWereAdded,1.000,0.003482,0.002063,0.019
1,inward,MapRenderer::nodesWereRemoved,1.000,0.002632,0.001417,0.013
1,inward,MapRenderer::selectionDidChange,3.000,0.017382,0.008575,0.080
1,inward,MapViewBase::renderContents,1.000,0.553637,0.532103,4.941
1,inward,MapViewBase::selectionDidChange,12.000,0.074481,0.030158,0.280
1,inward,MapViewBase::updateActionStates,24.000,0.045515,0.045515,0.423
1,inward,MapWindow::selectionDidChange,3.000,0.111826,0.111826,1.038
1,inward,MapWindow::updateActionState,1.000,0.033486,0.033486,0.311
1,inward,OutlinerEntityPropertyEditor::rebuildPropertyRows,1.000,1.732892,1.537230,14.273
1,inward,OutlinerEntityPropertyEditor::refreshEmbeddedEditors,2.000,0.000575,0.000575,0.005
1,inward,OutlinerEntityPropertyEditor::refreshVisiblePropertyValues,2.000,0.230500,0.230500,2.140
1,inward,OutlinerEntityPropertyEditor::updateFromSelection,1.000,1.740195,0.007303,0.068
1,inward,OutlinerTreeWidget::onDocumentSelectionChanged,3.000,1.075573,0.004429,0.041
1,inward,OutlinerTreeWidget::refreshTreeParents,2.000,1.186872,0.113335,1.052
1,inward,OutlinerTreeWidget::setupTreeItem,5.000,0.082767,0.082767,0.769
1,inward,OutlinerTreeWidget::syncSelectionFromDocument,5.000,2.061914,2.061914,19.145
1,inward,Qt.LayoutRequest,2.000,0.001042,0.001042,0.010
1,inward,Qt.MetaCall,12.000,2.104103,0.363908,3.379
1,inward,Qt.Paint,19.000,2.109514,1.543849,14.335
1,inward,Qt.Polish,7.000,0.473977,0.473977,4.401
1,inward,Qt.PolishRequest,7.000,0.292225,0.013909,0.129
1,inward,Qt.Timer,4.506,0.909378,0.443936,4.122
1,inward,Qt.UpdateRequest,1.000,3.550629,1.441115,13.381
1,inward,RenderView::paintGL,1.000,0.565665,0.000864,0.008
1,inward,RenderView::render,1.000,0.564801,0.011164,0.104
1,inward,ToolBoxConnector::updatePickResult,24.000,0.042691,0.042691,0.396
1,inward,addNodes,1.000,0.831229,0.016451,0.153
1,inward,addNodesAndNotify,1.000,0.620542,0.005569,0.052
1,inward,doSwapNodeContents,2.000,0.264763,0.017163,0.159
1,inward,drag,1.000,3.879003,0.006094,0.057
1,inward,events_and_render,1.000,6.888810,0.280928,2.608
1,inward,frame,1.000,10.769862,0.002050,0.019
1,inward,input.pick,1.000,0.021057,0.021057,0.196
1,inward,notify.selectionDidChange,3.000,1.520328,0.218530,2.029
1,inward,removeNodesAndNotify,1.000,0.598795,0.009696,0.090
1,inward,selectNodes,1.000,0.326202,0.008667,0.080
1,inward,splitBrushesInward,1.000,3.849671,0.020473,0.190
1,inward,splitBrushesOutward,1.000,0.000576,0.000576,0.005
1,inward,updateNodeContents,2.000,0.486532,0.015968,0.148
64,normal,Brush.copy.faces,1.000,0.000454,0.000454,0.026
